State/Crop/District,Season,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Delhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Bajra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Kharif,1549,2943,1.9,1586,2979,1.88,1531,2876,1.88,1439,2689,1.87,1519,3815,2.51,1519,3815,2.51,1520,3817,2.51,1482,3256,2.2,1487,3278,2.2,1502,3256,2.17,1478,3249,2.2,1475,4873,3.3
Total (Bajra),,1549,2943,1.9,1586,2979,1.88,1531,2876,1.88,1439,2689,1.87,1519,3815,2.51,1519,3815,2.51,1520,3817,2.51,1482,3256,2.2,1487,3278,2.2,1502,3256,2.17,1478,3249,2.2,1475,4873,3.3
2. Barley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Kharif,72,202,2.81,76,214,2.82,70,197,2.81,66,195,2.95,65,183,2.82,65,183,2.82,64,186,2.91,62,181,2.92,68,184,2.71,70,181,2.59,59,172,2.92,60,180,3
Total (Barley),,72,202,2.81,76,214,2.82,70,197,2.81,66,195,2.95,65,183,2.82,65,183,2.82,64,186,2.91,62,181,2.92,68,184,2.71,70,181,2.59,59,172,2.92,60,180,3
3. Gram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Rabi,48,70,1.46,76,67,0.88,8,75,9.38,13,72,5.54,44,62,1.41,44,62,1.41,41,54,1.32,25,53,2.12,25,53,2.12,25,10,0.4,2,4,2,2,4,2
Total (Gram),,48,70,1.46,76,67,0.88,8,75,9.38,13,72,5.54,44,62,1.41,44,62,1.41,41,54,1.32,25,53,2.12,25,53,2.12,25,10,0.4,2,4,2,2,4,2
4. Jowar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Kharif,8238,7950,0.97,3280,3168,0.97,3341,3227,0.97,3140,3032,0.97,3319,3008,0.91,3319,3008,0.91,3242,2937,0.91,3161,3034,0.96,3193,3065,0.96,3201,3035,0.95,3155,3032,0.96,3150,3150,1
Total (Jowar),,8238,7950,0.97,3280,3168,0.97,3341,3227,0.97,3140,3032,0.97,3319,3008,0.91,3319,3008,0.91,3242,2937,0.91,3161,3034,0.96,3193,3065,0.96,3201,3035,0.95,3155,3032,0.96,3150,3150,1
5. Maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Kharif,54,99,1.83,48,1054,21.96,40,878,21.95,38,843,22.18,37,828,22.38,37,828,22.38,35,783,22.37,34,174,5.12,34,174,5.12,36,174,4.83,20,102,5.1,20,102,5.1
Total (Maize),,54,99,1.83,48,1054,21.96,40,878,21.95,38,843,22.18,37,828,22.38,37,828,22.38,35,783,22.37,34,174,5.12,34,174,5.12,36,174,4.83,20,102,5.1,20,102,5.1
6. Rapeseed &Mustard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Rabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3250,8125,2.5
Total (Rapeseed &Mustard),,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,3250,8125,2.5
7. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Kharif,7039,19873,2.82,6821,19008,2.79,6848,19083,2.79,7248,20198,2.79,6068,19768,3.26,6068,19768,3.26,6035,17269,2.86,5884,16837,2.86,5973,17260,2.89,5854,16837,2.88,5848,16826,2.88,5848,17580,3.01
Total (Rice),,7039,19873,2.82,6821,19008,2.79,6848,19083,2.79,7248,20198,2.79,6068,19768,3.26,6068,19768,3.26,6035,17269,2.86,5884,16837,2.86,5973,17260,2.89,5854,16837,2.88,5848,16826,2.88,5848,17580,3.01
8. Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Delhi_Total,Rabi,18430,80355,4.36,21309,92480,4.34,20135,87385,4.34,18927,82142,4.34,19450,84802,4.36,19450,86498,4.45,19360,85558,4.42,19050,83419,4.38,19622,87182,4.44,19671,83419,4.24,19220,82876,4.31,19228,82905,4.31
Total (Wheat),,18430,80355,4.36,21309,92480,4.34,20135,87385,4.34,18927,82142,4.34,19450,84802,4.36,19450,86498,4.45,19360,85558,4.42,19050,83419,4.38,19622,87182,4.44,19671,83419,4.24,19220,82876,4.31,19228,82905,4.31
