State/Crop/District,Season,2004 - 2005,,,2005 - 2006,,,2006 - 2007,,,2007 - 2008,,,2008 - 2009,,,2009 - 2010,,,2010 - 2011,,,2011 - 2012,,,2012 - 2013,,,2013 - 2014,,,2014 - 2015,,,2015 - 2016,,,2016 - 2017,,,2017 - 2018,,,2018 - 2019,,,2019 - 2020,,,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Goa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Groundnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North goa,Kharif,3204,5234,1.63,3281,7891,2.41,2623,4579,1.75,3702,6965,1.88,640,896,1.4,570,1198,2.1,461,1390,3.02,357,1022,2.86,534,1345,2.52,394,951,2.41,361,734,2.03,361,736,2.04,336,859,2.56,280,651,2.33,210,498,2.37,2,5,2.5,4,7,1.75,4,7,1.75,11,23,2.09
,Rabi,,,,,,,,,,,,,3150,7284,2.31,2249,6843,3.04,2418,6885,2.85,2835,6973,2.46,2574,6123,2.38,2195,5635,2.57,1910,3577,1.87,1537,3298,2.15,1352,3112,2.3,1257,2819,2.24,214,497,2.32,168,426,2.54,70,158,2.26,75,153,2.04,56,82,1.46
,Total,3204,5234,1.63,3281,7891,2.41,2623,4579,1.75,3702,6965,1.88,3790,8180,2.16,2819,8041,2.85,2879,8275,2.87,3192,7995,2.5,3108,7468,2.4,2589,6586,2.54,2271,4311,1.9,1898,4034,2.13,1688,3971,2.35,1537,3470,2.26,424,995,2.35,170,431,2.54,74,165,2.23,79,160,2.03,67,105,1.57
2. South goa,Kharif,87,174,2,31,51,1.65,17,21,1.24,18,33,1.83,2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rabi,,,,,,,,,,,,,13,24,1.85,9,14,1.56,6,12,2,2,5,2.5,,,,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,87,174,2,31,51,1.65,17,21,1.24,18,33,1.83,15,24,1.6,9,14,1.56,6,12,2,2,5,2.5,,,0,2,4,2,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
Total (Groundnut),,3291,5408,1.64,3312,7942,2.4,2640,4600,1.74,3720,6998,1.88,3805,8204,2.16,2828,8055,2.85,2885,8287,2.87,3194,8000,2.5,3108,7468,2.4,2591,6590,2.54,2271,4311,1.9,1898,4034,2.13,1688,3971,2.35,1537,3470,2.26,424,995,2.35,170,431,2.54,74,165,2.23,79,160,2.03,67,105,1.57
2. Other Rabi pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North goa,Rabi,,,,,,,,,,,,,8730,8798,1.01,6699,7372,1.1,5720,6242,1.09,8175,6844,0.84,8352,7540,0.9,6620,7320,1.11,7010,6887,0.98,5673,4813,0.85,4431,4758,1.07,4145,3691,0.89,5459,5402,0.99,3845,3371,0.88,3268,3268,1,3234,2555,0.79,3235,2779,0.86
2. South goa,Rabi,,,,,,,,,,,,,737,1055,1.43,835,857,1.03,1650,1594,0.97,1562,1293,0.83,1371,1244,0.91,1308,1467,1.12,1305,984,0.75,1310,1069,0.82,1314,1036,0.79,1200,944,0.79,574,777,1.35,552,484,0.88,572,480,0.84,570,479,0.84,364,407,1.12
Total (Other Rabi pulses),,,,0,,,0,,,0,,,0,9467,9853,1.04,7534,8229,1.09,7370,7836,1.06,9737,8137,0.84,9723,8784,0.9,7928,8787,1.11,8315,7871,0.95,6983,5882,0.84,5745,5794,1.01,5345,4635,0.87,6033,6179,1.02,4397,3855,0.88,3840,3748,0.98,3804,3034,0.8,3599,3186,0.89
3. Other Kharif pulses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North goa,Kharif,,,,,,,,,,,,,325,154,0.47,328,290,0.88,150,126,0.84,175,123,0.7,224,189,0.84,156,129,0.83,200,178,0.89,153,115,0.75,125,105,0.84,190,184,0.97,155,131,0.85,,,,,,,,,,,,
2. South goa,Kharif,,,,,,,,,,,,,63,22,0.35,28,15,0.54,30,20,0.67,37,26,0.7,2,1,0.5,16,10,0.63,8,8,1,18,13,0.72,17,13,0.76,5,2.92,0.58,15,8,0.53,1,0,0,,,,,,,,,
Total (Other Kharif pulses),,,,0,,,0,,,0,,,0,388,176,0.45,356,305,0.86,180,146,0.81,212,149,0.7,226,190,0.84,172,139,0.81,208,186,0.89,171,128,0.75,142,118,0.83,195,186.92,0.96,170,139,0.82,1,0,0,,,0,,,0,,,0
4. Ragi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North goa,Kharif,160,165,1.03,223,279,1.25,125,119,0.95,38,34,0.89,39,40,1.03,25,26,1.04,25,23,0.92,26,25,0.96,13,16,1.23,2,2.685,1.34,0.1,0.075,0.75,,,,,,,,,,,,,,,,,,,,,,,,
2. South goa,Kharif,234,212,0.91,218,184,0.84,155,135,0.87,124,136,1.1,119,151,1.27,129,131,1.02,125,110,0.88,124,112,0.9,35,34,0.97,16,11.09,0.69,15.4,10.72,0.7,,,,,,,,,,,,,,,,,,,,,,,,
Total (Ragi),,394,377,0.96,441,463,1.05,280,254,0.91,162,170,1.05,158,191,1.21,154,157,1.02,150,133,0.89,150,137,0.91,48,50,1.04,18,13.775,0.77,15.5,10.795,0.7,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
5. Rice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. North goa,Kharif,29535,85664,2.9,29605,85399,2.88,29124,76689,2.63,29653,71918,2.43,19974,47919,2.4,18201,35411,1.95,17314,41896,2.42,18019,47954,2.66,18045,47789,2.65,14740,44206,3,14385,40962,2.85,13115,36831,2.81,13055,37429,2.87,12454,34934,2.81,12257,34354,2.8,10871,25820,2.38,10661,31032,2.91,10554,31253,2.96,1056,47325,44.82
,Rabi,,,,,,,,,,,,,8145,20727,2.54,8688,24343,2.8,8450,22437,2.66,8450,23108,2.73,7355,21852,2.97,7270,22145,3.05,6820,18826,2.76,4439,13246,2.98,4272,11838,2.77,3681,11012,2.99,3243,8882,2.74,2996,9212,3.07,2356,7614,3.23,2307,5896,2.56,2303,6924,3.01
,Total,29535,85664,2.9,29605,85399,2.88,29124,76689,2.63,29653,71918,2.43,28119,68646,2.44,26889,59754,2.22,25764,64333,2.5,26469,71062,2.68,25400,69641,2.74,22010,66351,3.01,21205,59788,2.82,17554,50077,2.85,17327,49267,2.84,16135,45946,2.85,15500,43236,2.79,13867,35032,2.53,13017,38646,2.97,12861,37149,2.89,3359,54249,16.15
2. South goa,Kharif,22907,59510,2.6,22572,61837,2.74,23861,52256,2.19,22538,49761,2.21,13664,30786,2.25,12965,23856,1.84,13318,30325,2.28,13228,30816,2.33,13210,33440,2.53,13590,35908,2.64,13455,40307,3,14615,41658,2.85,14575,39680,2.72,14765,36345,2.46,13584,35918,2.64,13540,34736,2.57,12779,30540,2.39,12734,34336,2.7,1201,47105,39.22
,Rabi,,,,,,,,,,,,,7543,22435,2.97,7250,16995,2.34,7530,20336,2.7,7540,20113,2.67,7220,19740,2.73,7220,24252,3.36,7310,20410,2.79,9175,23333,2.54,8921,24280,2.72,7620,20706,2.72,7300,19700,2.7,7291,20607,2.83,6881,18155,2.64,6752,18946,2.81,6647,18520,2.79
,Total,22907,59510,2.6,22572,61837,2.74,23861,52256,2.19,22538,49761,2.21,21207,53221,2.51,20215,40851,2.02,20848,50661,2.43,20768,50929,2.45,20430,53180,2.6,20810,60160,2.89,20765,60717,2.92,23790,64991,2.73,23496,63960,2.72,22385,57051,2.55,20884,55618,2.66,20831,55343,2.66,19660,48695,2.48,19486,53282,2.73,7848,65625,8.36
Total (Rice),,52442,145174,2.77,52177,147236,2.82,52985,128945,2.43,52191,121679,2.33,49326,121867,2.47,47104,100605,2.14,46612,114994,2.47,47237,121991,2.58,45830,122821,2.68,42820,126511,2.95,41970,120505,2.87,41344,115068,2.78,40823,113227,2.77,38520,102997,2.67,36384,98854,2.72,34698,90375,2.6,32677,87341,2.67,32347,90431,2.8,11207,119874,10.7
