State/Crop/District,Season,2020 - 2021,,,2021 - 2022,,,2022 - 2023,,
,,Area,Production,Yield,Area,Production,Yield,Area,Production,Yield
,,(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.),(Hectare),(Tonnes),(Ton./Ha.)
Ladakh,,,,,,,,,,
1. Barley,,,,,,,,,,
1. Kargil,Rabi,,,,,,,5374,10748,2
2. Leh ladakh,Rabi,9970.97,17651.94,1.77,7801.3,14508.7,1.86,4234,7164.7,1.69
Total (Barley),,9970.97,17651.94,1.77,7801.3,14508.7,1.86,9608,17912.7,1.86
2. Masoor,,,,,,,,,,
1. Kargil,Rabi,,,,,,,20,16,0.8
2. Leh ladakh,Rabi,96,76.8,0.8,97.5,78,0.8,80,64,0.8
Total (Masoor),,96,76.8,0.8,97.5,78,0.8,100,80,0.8
3. Onion,,,,,,,,,,
1. Kargil,Rabi,,,,,,,59,830,14.07
2. Leh ladakh,Rabi,95.5,1442,15.1,97,1580,16.29,37.3,607.57,16.29
Total (Onion),,95.5,1442,15.1,97,1580,16.29,96.3,1437.57,14.93
4. Other Rabi pulses,,,,,,,,,,
1. Leh ladakh,Rabi,12,72,6,12,72,6,12,72,6
Total (Other Rabi pulses),,12,72,6,12,72,6,12,72,6
5. Peas & beans (Pulses),,,,,,,,,,
1. Kargil,Rabi,,,,,,,1103,1473,1.34
2. Leh ladakh,Rabi,1311.4,1720.4,1.31,1334.65,1786.16,1.34,298,357,1.2
Total (Peas & beans (Pulses)),,1311.4,1720.4,1.31,1334.65,1786.16,1.34,1401,1830,1.31
6. Potato,,,,,,,,,,
1. Kargil,Kharif,,,,,,,168,2354,14.01
2. Leh ladakh,Kharif,861.2,9187.2,10.67,420,7384.92,17.58,250.14,5002.8,20
Total (Potato),,861.2,9187.2,10.67,420,7384.92,17.58,418.14,7356.8,17.59
7. Rapeseed &Mustard,,,,,,,,,,
1. Kargil,Rabi,,,,,,,27,26,0.96
2. Leh ladakh,Rabi,159.55,237.17,1.49,559.5,237.17,0.42,132,211,1.6
Total (Rapeseed &Mustard),,159.55,237.17,1.49,559.5,237.17,0.42,159,237,1.49
8. Small millets,,,,,,,,,,
1. Leh ladakh,Kharif,410.5,267.42,0.65,,,,,,
Total (Small millets),,410.5,267.42,0.65,,,0,,,0
9. Wheat,,,,,,,,,,
1. Kargil,Rabi,,,,,,,2128,3831,1.8
2. Leh ladakh,Rabi,4399.05,7222.29,1.64,5704.5,10466,1.83,2415,3750.42,1.55
Total (Wheat),,4399.05,7222.29,1.64,5704.5,10466,1.83,4543,7581.42,1.67
